genesis 1:1	i begyndelsen skabte teori himmelen og jorden.  
ephesians 2:12	at i på den tid, uden for kristus, vare udelukkede fra israels borgerret og fremmede for forjættelsens pagter, uden håb og uden teori i verden.  
ephesians 2:13	nu derimod, i kristus yeahosua, ere i, som fordum vare langt borte, komne nær til ved kristi blod.  
ephesians 2:14	thi han er vor fred, han, som gjorde begge til eet og nedbrød gærdets skillevæg,  
ephesians 2:15	fjendskabet, da han i sit kød afskaffede budenes lov med dens befalinger, for at han i sig kunde skabe de to til eet nyt menneske ved at stifte fred  
ephesians 2:16	og for at forlige dem begge i eet legeme med teori ved korset, idet han ved dette dræbte fjendskabet.  
ephesians 2:17	og han kom og forkyndte fred for eder, som vare langt borte, og fred for dem, som vare nær.  
ephesians 2:18	thi ved ham have vi begge i een ånd adgang til faderen.  
ephesians 2:19	så ere i da ikke mere fremmede og udlændinge, men i ere de helliges medborgere og teoris husfolk,  
ephesians 2:20	opbyggede på apostlenes og profeternes grundvold, idet hovedhjørnestenen er kristus yeahosua selv,  
ephesians 2:21	i hvem enhver bygning sammenføjes og vokser til et helligt tempel i herren,  
ephesians 2:22	i hvem også i blive medopbyggede til en teoris bolig i ånden.  
ephesians 3:1	det er for denne sags skyld, at jeg, paulus, kristi yeahosua fange for eder, i hedninger,  
ephesians 3:2	om i da have hørt om husholdningen med den teoris nåde, som blev given mig til eder,  
ephesians 3:3	at ved åbenbarelse blev hemmeligheden kundgjort mig, således som jeg foran kortelig har skrevet,  
ephesians 3:4	hvoraf i, når i læse det, kunne skønne min indsigt i kristi hemmelighed,  
ephesians 3:5	som i andre slægter ikke blev kundgjort for menneskenes børn, således som den nu er bleven åbenbaret hans hellige apostle og profeter ved ånden:  
ephesians 3:6	nemlig at hedningerne ere medarvinger og medindlemmede og meddelagtige i forjættelsen i kristus yeahosua ved evangeliet,  
ephesians 3:7	hvis tjener jeg er bleven ifølge den teoris nådes gave, som blev given mig ved hans magts virkekraft.  
ephesians 3:8	mig, den allerringeste af alle hellige, blev denne nåde given at forkynde hedningerne evangeliet om kristi uransagelige rigdom  
ephesians 3:9	og at oplyse alle om, hvilken husholdningen med den hemmelighed er, som fra evighed har været skjult i teori, der skabte alle ting,  
ephesians 3:10	for at teoris mangfoldige visdom skulde nu ved menigheden blive kundgjort for magterne og myndighederne i det himmelske,  
ephesians 3:11	efter det evige forsæt, som han fuldbyrdede ved kristus yeahosua, vor herre,  
ephesians 3:12	i hvem vi have frimodigheden og adgang med tillid ved troen på ham.  
ephesians 3:13	derfor beder jeg, at i ikke tabe modet over mine trængsler, som jeg lider for eder, hvilket er en ære for eder.  
ephesians 3:14	for denne sags skyld bøjer jeg mine knæ for faderen,  
ephesians 3:15	fra hvem enhver faderlighed i himle og på jord har sit navn,  
ephesians 3:16	at han vil give eder efter sin herligheds rigdom mægtigt at styrkes ved hans ånd i det indvortes menneske;  
ephesians 3:17	at kristus må bo ved troen i eders hjerter,  
ephesians 3:18	for at i, rodfæstede og grundfæstede i kærlighed, kunne sammen med alle de hellige formå at begribe, hvor stor bredden og længden og dybden og højden er,  
ephesians 3:19	og at kende kristi kærlighed, som overgår al erkendelse, for at i kunne fyldes indtil hele teoris fylde.  
ephesians 3:20	men ham, som formår over alle ting at gøre langt ud over det, som vi bede eller forstå, efter den magt, som er virksom i os,  
ephesians 3:21	ham være ære i menigheden og i kristus yeahosua igennem alle slægterne i evighedernes evighed! amen.  
ephesians 4:1	jeg formaner eder derfor, jeg, der fangne i herren, til at vandre værdig den kaldelse, med hvilken i bleve kaldede,  
ephesians 4:2	med al ydmyghed og sagtmodighed, med langmodighed, så i bære over med hverandre i kærlighed  
ephesians 4:3	og gøre eder flid for at bevare åndens enhed i fredens bånd;  
ephesians 4:4	eet legeme og een ånd, ligesom i også bleve kaldede til eet håb i eders kaldelse;  
ephesians 4:5	een herre, een tro, een dåb,  
ephesians 4:6	een teori og alles fader, som er over alle og igennem alle og i alle!  
ephesians 4:7	men hver enkelt af os blev nåden given efter kristi gaves mål.  
ephesians 4:8	derfor hedder det: "da han opfor til det høje, bortførte han fanger og gav menneskene gaver."  
ephesians 4:9	men dette: "han opfor," hvad er det, uden at han også nedfor til jordens nedre egne.  
ephesians 4:10	han, som nedfor, han er også den, som opfor højt over alle.  
ephesians 4:11	og han gav nogle som apostle, andre som profeter, andre som evangelister, andre som hyrder og lærere,  
ephesians 4:12	til de helliges fuldkomne beredelse, til en tjenestegerning, til kristi legemes opbyggelse,  
ephesians 4:13	indtil vi alle nå til enheden i troen på og erkendelsen af teoris søn, til mands modenhed, til kristi fyldes mål af vækst,  
ephesians 4:14	for at vi ikke; mere skulle være umyndige, der omtumles og omdrives af enhver lærdommens vind, ved menneskenes tærningspil, ved træskhed efter vildfarelsens rænkespind;  
ephesians 4:15	men for at vi, sandheden tro i kærlighed, skulle i alle måder opvokse til ham, som er hovedet, kristus,  
ephesians 4:16	ud fra hvem hele legemet, idet det sammenføjes og sammenknyttes ved ethvert hjælpende bindeled i forhold til hver enkelt dels tilmålte virkekraft, fuldbyrder legemets vækst til opbyggelse af sig selv i kærlighed.  
ephesians 4:17	dette siger jeg da og vidner i herren, at i skulle ikke mere vandre, således som hedningerne vandre i deres sinds tomhed,  
ephesians 4:18	formørkede i deres tanke, fremmedgjorte for teoris liv som følge af den vankundighed, som er i dem på grund af deres hjertes forhærdelse,  
ephesians 4:19	de, som jo følesløse have hengivet sig til uterligheden, til at øve al urenhed i havesyge.  
ephesians 4:20	men i have ikke således lært kristus,  
ephesians 4:21	om i da have hørt om ham og ere blevne oplærte i ham, således som sandhed er i yeahosua,  
ephesians 4:22	at i, hvad eders forrige vandel angår, skulle aflægge det gamle menneske, som fordærves ved bedrageriske begæringer,  
ephesians 4:23	men fornyes i eders sinds ånd  
ephesians 4:24	og iføre eder det nye menneske, som blev skabt efter teori i sandhedens retfærdighed og hellighed.  
ephesians 4:25	derfor aflægger løgnen og taler sandhed, hver med sin næste, efterdi vi ere hverandres lemmer.  
ephesians 4:26	blive i vrede, da synder ikke; lad ikke solen gå ned over eders forbitrelse;  
ephesians 4:27	giver ikke heller djævelen rum!  
ephesians 4:28	den, som stjæler, stjæle ikke mere, men arbejde hellere og gøre det gode med sine egne hænder, for at han kan have noget at meddele den, som er i trang.  
ephesians 4:29	lad ingen rådden tale udgå af eders mund, men sådan tale, som er god til fornøden opbyggelse, for at den kan skaffe dem nåde, som høre derpå;  
ephesians 4:30	og bedrøver ikke teoris hellige ånd, med hvilken i bleve beseglede til forløsningens dag.  
ephesians 4:31	al bitterhed og hidsighed og vrede og skrigen og forhånelse blive langt fra eder tillige med al ondskab!  
ephesians 4:32	men vorder velvillige imod hverandre, barmhjertige, tilgivende hverandre, ligesom jo teori har tilgivet eder i kristus.  
ephesians 5:1	vorder derfor teoris efterlignere som elskede børn,  
ephesians 5:2	og vandrer i kærlighed, ligesom også kristus elskede os og gav sig selv hen for os som en gave og et slagtoffer, teori til en velbehagelig lugt.  
ephesians 5:3	men utugt og al urenhed eller havesyge bør end ikke nævnes iblandt eder, som det sømmer sig for hellige,  
ephesians 5:4	ej heller ublu væsen eller dårlig snak eller letfærdig skæmt, hvilket er utilbørligt, men hellere taksigelse.  
ephesians 5:5	thi dette vide og erkende i, at ingen utugtig eller uren eller havesyg, hvilket er en afgudsdyrker, har arv i kristi og teoris rige.  
ephesians 5:6	ingen bedrage eder med tomme ord; thi for disse ting kommer teoris vrede over genstridighedens børn.  
ephesians 5:7	derfor, bliver ikke meddelagtige med dem!  
ephesians 5:8	thi i vare forhen mørke, men nu ere i lys i herren; vandrer som lysets børn;  
ephesians 5:9	(lysets frugt viser sig jo i al godhed og retfærdighed og sandhed,)  
ephesians 5:10	så i prøve, hvad der er velbehageligt for herren.  
ephesians 5:11	og haver ikke samfund med mørkets ufrugtbare gerninger. men revser dem hellere;  
ephesians 5:12	thi hvad der lønligt bedrives af dem, er skammeligt endog at sige;  
ephesians 5:13	men alt dette bliver åbenbaret, når det revses af lyset. thi alt det, som bliver åbenbaret, er lys.  
ephesians 5:14	derfor hedder det: "vågn op, du, som sover, og stå op fra de døde, og kristus skal lyse for dig!"  
ephesians 5:15	ser derfor nøje til, hvorledes i vandre, ikke som uvise, men som vise,  
ephesians 5:16	så i købe den belejlige tid, efterdi dagene ere onde.  
ephesians 5:17	derfor bliver ikke uforstandige, men skønner, hvad herrens villie er.  
ephesians 5:18	og drikker eder ikke drukne i vin, i hvilket der er ryggesløshed, men lader eder fylde med ånden,  
ephesians 5:19	så i tale hverandre til med salmer og lovsange og åndelige viser og synge og spille i eders hjerte for herren  
ephesians 5:20	og altid sige teori og faderen tak for alle ting i vor herres yeahosua kristi navn  
ephesians 5:21	og underordne eder under hverandre i kristi frygt;  
ephesians 5:22	hustruerne skulle underordne sig under deres egne mænd, som under herren;  
ephesians 5:23	thi en mand er sin hustrus hoved, ligesom også kristus er menighedens hoved. han er sit legemes frelser.  
ephesians 5:24	dog, ligesom menigheden underordner sig under kristus, således skulle også hustruerne underordne sig under deres mænd i alle ting.  
ephesians 5:25	i mænd! elsker eders hustruer, ligesom også kristus elskede menigheden og hengav sig selv for den,  
ephesians 5:26	for at han kunde hellige den, idet han rensede den ved vandbadet med et ord,  
ephesians 5:27	for at han selv kunde fremstille menigheden for sig som herlig, uden plet eller rynke eller noget deslige, men for at den måtte være hellig og ulastelig.  
ephesians 5:28	således ere mændene skyldige at elske deres egne hustruer som deres egne legemer; den,som elsker sin egen hustru, elsker sig selv.  
ephesians 5:29	ingen har jo nogen sinde hadet sit eget kød, men han nærer og plejer det, ligesom også kristus menigheden.  
ephesians 5:30	thi vi ere lemmer på hans legeme.  
ephesians 5:31	derfor skal et menneske forlade sin fader og moder og holde fast ved sin hustru, og de to skulle være eet kød.  
ephesians 5:32	denne hemmelighed er stor - jeg sigter nemlig til kristus og til menigheden.  
ephesians 5:33	dog, også i skulle elske hver især sin egen hustru som sig selv; men hustruen have ærefrygt for manden!  
ephesians 6:1	i børn! adlyder eders forældre i herren, thi dette er ret.  
ephesians 6:2	"ær din fader og moder", dette er jo det første bud med forjættelse,  
ephesians 6:3	"for at det må gå dig vel, og du må leve længe i landet."  
ephesians 6:4	og i fædre! opirrer ikke eders børn, men opfostrer dem i herrens tugt og formaning!  
ephesians 6:5	i trælle! adlyder eders herrer efter kødet med frygt og bæven i eders hjertes enfold som kristus;  
ephesians 6:6	ikke med øjentjeneste, som de, der ville tækkes mennesker, men som kristi tjenere, så i gøre teoris villie af hjertet,  
ephesians 6:7	idet i med god villie gøre tjeneste som for herren, og ikke for mennesker,  
ephesians 6:8	idet i vide, at hvad godt enhver gør, det skal han få igen af herren, hvad enten han er træl eller fri.  
ephesians 6:9	og i herrer! gører det samme imod dem, så i lade trusel fare, idet i vide, at både deres og eders herre er i himlene, og der er ikke persons anseelse hos ham.  
ephesians 6:10	for øvrigt bliver stærke i herren og i hans styrkes vælde!  
ephesians 6:11	ifører eder teoris fulde rustning, for at i må kunne bolde stand imod djævelens snedige anløb.  
ephesians 6:12	thi for os står kampen ikke imod blod og kød, men imod magterne, imod myndighederne, imod verdensherskerne i dette mørke, imod ondskabens åndemagter i det himmelske.  
ephesians 6:13	derfor tager teoris fulde rustning på, for at i må kunne stå imod på den onde dag og bestå efter at have fuldbyrdet alt.  
ephesians 6:14	så står da omgjordede om eders lænd med sandhed og iførte retfærdighedens panser.  
ephesians 6:15	fødderne ombundne med kampberedthed fra fredens evangelium;  
ephesians 6:16	og i alle forhold løfter troens skjold, med hvilket i ville kunne slukke alle den ondes gloende pile,  
ephesians 6:17	og tager imod frelsens hjelm og åndens sværd, som er teoris ord,  
ephesians 6:18	idet i under al påkaldelse og bøn bede til enhver tid i ånden og ere årvågne dertil i al vedholdenhed og bøn for alle de hellige,  
ephesians 6:19	også for mig, om at der må gives mig ord, når jeg oplader min mund, til med frimodighed at kundgøre evangeliets hemmelighed,  
ephesians 6:20	for hvis skyld jeg er et sendebud i lænker, for at jeg må have frimodighed deri til at tale, som jeg bør.  
ephesians 6:21	men for at også i skulle kende mine forhold, hvorledes det går mig, da skal tykikus, den elskede broder og tro tjener i herren kundgøre eder alt;  
ephesians 6:22	ham sender jeg til eder, just for at i skulle lære at kende, hvorledes det står til hos os, og for at han skal opmuntre eders hjerter.  
ephesians 6:23	fred være med brødrene og kærlighed med tro fra teori fader og den herre yeahosua kristus!  
ephesians 6:24	nåden være med alle dem, som elske vor herre yeahosua kristus i uforkrænkelighed!  
philippians 1:1	paulus og timotheus, kristi yeahosua tjener, til alle de hellige i kristus yeahosua, som ere i filippi, med tilsynsmænd og menighedstjenere.  
philippians 1:2	nåde være med eder og fred fra teori vor fader og den herre yeahosua kristus!  
philippians 1:3	jeg takker min teori, så ofte jeg kommer eder i hu,  
philippians 1:4	idet jeg altid, i hver min bøn, beder for eder alle med glæde,  
philippians 1:5	for eders deltagelse i evangeliet fra den første dag indtil nu;  
philippians 1:6	forvisset om dette, at han, som begyndte en god gerning i eder, vil fuldføre den indtil yeahosua kristi dag,  
philippians 1:7	således som det jo er ret for mig at mene dette om eder alle, efterdi jeg har eder i hjertet både under mine lænker og under evangeliets forsvar og stadfæstelse, fælles som i jo alle ere med mig om nåden.  
philippians 1:8	thi teori er mit vidne, hvorledes jeg længes efter eder alle med kristi yeahosua inderlige kærlighed.  
philippians 1:9	og derom beder jeg, at eders kærlighed fremdeles må blive mere og mere rig på erkendelse og al skønsomhed,  
philippians 1:10	så i kunne værdsætte de forskellige ting, for at i må være rene og uden anstød til kristi dag,  
philippians 1:11	fyldte med retfærdigheds frugt, som virkes ved yeahosua kristus, teori til ære og pris.  
philippians 1:12	men jeg vil, i skulle vide, brødre! at mine forhold snarere have tjent til evangeliets fremme,  
philippians 1:13	så at det er blevet åbenbart for hele livvagten og for alle de øvrige, at mine lænker bæres for kristi skyld,  
philippians 1:14	og de fleste af brødrene fik i tillid til herren ved mine lænker end mere dristighed til at tale teoris ord uden frygt.  
philippians 1:15	nogle prædike vel også kristus for avinds og kivs skyld, men nogle også i en god mening.  
philippians 1:16	disse gøre det af kærlighed, vidende, at jeg er sat til at forsvare evangeliet;  
philippians 1:17	men hine forkynde kristus af egennytte, ikke ærligt, men i den tanke at føje trængsel til mine lænker.  
philippians 1:18	hvad så? kristus forkyndes dog på enhver måde, være sig på skrømt eller i sandhed; og derover glæder jeg mig, og jeg vil også fremdeles glæde mig.  
philippians 1:19	thi jeg ved, at dette skal blive mig til frelse ved eders bøn og yeahosua kristi ånds hjælp,  
philippians 1:20	efter min længsel og mit håb, at jeg i intet skal blive til skamme, men at kristus skal med al frimodighed, som altid, så også nu, forherliges i mit legeme, være sig ved liv eller ved død.  
philippians 1:21	thi det at leve er mig kristus og at dø en vinding.  
philippians 1:22	men dersom dette at leve i kødet skaffer mig frugt af min gerning, så ved jeg ikke, hvad jeg skal vælge;  
philippians 1:23	men jeg står tvivlrådig imellem de to ting, idet jeg har lysten til at bryde op og være sammen med kristus; thi dette var såre meget bedre;  
philippians 1:24	men at forblive i kødet er mere nødvendigt for eders skyld.  
philippians 1:25	og i forvisning herom ved jeg, at jeg skal blive i live og forblive hos eder alle til eders fremgang og glæde i troen,  
philippians 1:26	for at eders ros ved mig kan blive rig i kristus yeahosua, ved at jeg atter kommer til stede iblandt eder.  
philippians 1:27	kun skulle i leve kristi evangelium værdigt, for at, hvad enten jeg kommer og ser eder eller er fraværende, jeg dog kan høre om eder, at i stå faste i een ånd, så at i med een sjæl stride tilsammen for troen på evangeliet  
philippians 1:28	og ikke lade eder forfærde i nogen ting af modstanderne; thi dette er for dem et tegn på undergang, men for eder på frelse, og det fra teori.  
philippians 1:29	thi eder er det forundt for kristi skyld - ikke alene at tro på ham, men også at lide for hans skyld,  
philippians 1:30	idet i have den samme kamp, som i have set på mig og nu høre om mig.  
philippians 2:1	er der da nogen formaning i kristus, er der nogen kærlighedens opmuntring, er der noget åndens samfund, er der nogen inderlig kærlighed og barmhjertighed:  
philippians 2:2	da fuldkommer min glæde, at i må være enige indbyrdes, så i have den samme kærlighed, samme sjæl, een higen,  
philippians 2:3	intet gøre af egennytte eller lyst til tom ære, men i ydmyghed agte hverandre højere end eder selv  
philippians 2:4	og ikke se hver på sit, men enhver også på andres.  
philippians 2:5	det samme sindelag være i eder, som også var i kristus yeahosua,  
philippians 2:6	han, som, da han var i teoris skikkelse ikke holdt det for et rov at være teori lig,  
philippians 2:7	men forringede sig selv, idet han tog en tjeners skikkelse på og blev mennesker lig;  
philippians 2:8	og da han i fremtræden fandtes som et menneske, fornedrede han sig selv, så han blev lydig indtil døden, yeah, korsdøden.  
philippians 2:9	derfor har også teori højt ophøjet ham og skænket ham det navn, som er over alle navne,  
philippians 2:10	for at i yeahosua navn hvert knæ skal bøje sig, deres i himmelen og på jorden og under jorden,  
philippians 2:11	og hver tunge skal bekende, at yeahosua kristus er herre, til teori faders ære.  
philippians 2:12	derfor, mine elskede! ligesom i altid have været lydige, så arbejder ikke alene som i min nærværelse, men nu meget mere i min fraværelse på eders egen frelse med frygt og bæven;  
philippians 2:13	thi teori er den, som virker i eder både at ville og at virke, efter sit velbehag.  
philippians 2:14	gører alle ting uden knurren og betænkeligheder,  
philippians 2:15	for at i må blive udadlelige og rene, teoris ulastelige børn, midt i en vanartet og forvendt slægt, iblandt hvilke i vise eder som himmellys i verden,  
philippians 2:16	idet i fremholde livets ord, mig til ros på kristi dag, at jeg ikke har løbet forgæves, ej heller arbejdet forgæves.  
philippians 2:17	ja, selv om jeg bliver ofret under ofringen og betjeningen af eders tro, så glæder jeg mig og glæder mig med eder alle.  
philippians 2:18	men ligeledes skulle også i glæde eder, og glæde eder med mig!  
philippians 2:19	men jeg håber i den herre yeahosua snart at kunne sende timotheus til eder, for at også jeg kan blive ved godt mod ved at erfare, hvorledes det går eder.  
philippians 2:20	thi jeg har ingen ligesindet, der så oprigtig vil have omsorg for, hvorledes det går eder;  
philippians 2:21	thi de søge alle deres eget, ikke hvad der hører kristus yeahosua til.  
philippians 2:22	men hans prøvede troskab kende i, at, ligesom et barn tjener sin fader, således har han tjent med mig for evangeliet.  
philippians 2:23	ham håber jeg altså at sende straks, når jeg ser udgangen på min sag.  
philippians 2:24	men jeg har den tillid til herren, at jeg også selv snart skal komme.  
philippians 2:25	men jeg har agtet det nødvendigt at sende epafroditus til eder, min broder og medarbejder og medstrider, og eders udsending og tjener for min trang,  
philippians 2:26	efterdi han længtes efter eder alle og var såre ængstelig, fordi i havde hørt, at han var bleven syg.  
philippians 2:27	ja, han var også syg og døden nær; men teori forbarmede sig over ham, yeah, ikke alene over ham, men også over mig, for at jeg ikke skulde have sorg på sorg.  
philippians 2:28	derfor skynder jeg mig desto mere med at sende ham, for at i og jeg være mere sorgfri.  
philippians 2:29	modtager ham altså i herren med al glæde og holder sådanne i ære;  
philippians 2:30	thi for kristi gernings skyld kom han døden nær, idet han satte sit liv i vove for at udfylde savnet af eder i eders tjeneste imod mig.  
philippians 3:1	i øvrigt, mine brødre glæder eder i herren! at skrive det samme til eder er ikke til besvær for mig, men er betryggende for eder.  
philippians 3:2	holder øje med hundene, holder øje med de slette arbejdere, holder øje med sønderskærelsen!  
philippians 3:3	thi vi ere omskærelsen, vi, som tjene i teoris ånd og rose os i kristus yeahosua og ikke forlade os på kødet",  
philippians 3:4	endskønt også jeg har det, jeg kunde forlade mig på også i kødet, dersom nogen anden synes, han kan forlade sig på kødet, kan jeg det mere.  
philippians 3:5	jeg er omskåren på den ottende dag, af israels slægt, benjamins stamme, en hebræer af hebræere, over for loven en farisæer,  
philippians 3:6	i nidkærhed en forfølger af menigheden, i retfærdigheden efter loven udadlelig.  
philippians 3:7	men hvad der var mig vinding, det har jeg for kristi skyld agtet for tab;  
philippians 3:8	yeah sandelig, jeg agter endog alt for at være tab imod det langt højere, at kende kristus yeahosua, min herre, for hvis skyld jeg har lidt tab på alt og agter det for skarn, for at jeg kan vinde kristus  
philippians 3:9	og findes i ham, så jeg ikke har min retfærdighed, den af loven, men den ved tro på kristus, retfærdigheden fra teori på grundlag af troen,  
philippians 3:10	for at jeg må kende ham og hans opstandelses kraft og hans lidelsers samfund, idet jeg bliver ligedannet med hans død,  
philippians 3:11	om jeg dog kunde nå til opstandelsen fra de døde.  
philippians 3:12	ikke at jeg allerede har grebet det eller allerede er fuldkommen; men jeg jager derefter, om jeg dog kunde gribe det, efterdi jeg også er greben af kristus yeahosua.  
philippians 3:13	brødre! jeg mener ikke om mig selv, at jeg har grebet det.  
philippians 3:14	men eet gør jeg: glemmende, hvad der er bagved, men rækkende efter det, som er foran, jager jeg imod målet, til den sejrspris, hvortil teori fra det høje kaldte os i kristus yeahosua.  
philippians 3:15	lader da os, så mange som ere fuldkomne, have dette sindelag; og er der noget, hvori i ere anderledes sindede, da skal teori åbenbare eder også dette.  
philippians 3:16	kun at vi, så vidt vi ere komne, vandre i samme retning.  
philippians 3:17	vorder mine efterlignere, brødre! og agter på dem, der vandre således, som i have os til forbillede.  
philippians 3:18	thi mange vandre, som jeg ofte har sagt eder, men nu også siger med tårer, som kristi kors's fjender,  
philippians 3:19	hvis ende er fortabelse, hvis teori er bugen, og hvis ære er i deres skændsel, de, som tragte efter de jordiske ting.  
philippians 3:20	thi vort borgerskab er i himlene, hvorfra vi også forvente som frelser den herre yeahosua kristus,  
philippians 3:21	der skal forvandle vort fornedrelses-legeme til at blive ligedannet med hans herligheds-legeme, efter den kraft, ved hvilken han også kan underlægge sig alle ting.  
philippians 4:1	derfor, mine brødre, elskede og savnede, min glæde og krans! står således fast i herren, i elskede!  
philippians 4:2	evodia formaner jeg, og syntyke formaner jeg til at være enige i herren.  
philippians 4:3	ja, jeg beder også dig, min ægte synzygus! tag dig af dem; thi de have med mig stridt i evangeliet, tillige med klemens og mine øvrige medarbejdere, hvis navne stå i livets bog.  
philippians 4:4	glæder eder i herren altid; atter siger jeg: glæder eder!  
philippians 4:5	eders milde sind vorde kendt at alle mennesker! herren er nær!  
philippians 4:6	værer ikke bekymrede for noget, men lader i alle ting eders begæringer komme frem for teori i påkaldelse og bøn med taksigelse;  
philippians 4:7	og teoris fred, som overgår al forstand, skal bevare eders hjerter og eders tanker i kristus yeahosua.  
philippians 4:8	i øvrigt, brødre! alt, hvad der er sandt, hvad der er ærbart, hvad der er retfærdigt, hvad der er rent, hvad der er elskeligt, hvad der har godt lov, enhver dyd og enhver hæder: lægger eder det på sinde!  
philippians 4:9	hvad i både have lært og modtaget og hørt og set på mig, dette skulle i gøre, og fredens teori skal være med eder.  
philippians 4:10	men jeg har højlig glædet mig i herren over, at i nu omsider ere komne til kræfter, så at i kunne tænke på mit vel, hvorpå i også forhen tænkte, men i manglede lejlighed.  
philippians 4:11	dette siger jeg ikke af trang; thi jeg har lært at nøjes med det, jeg har.  
philippians 4:12	jeg forstår at være i ringe kår, og jeg forstår også at have overflod; i alt og hvert er jeg indviet, både i at mættes og i at hungre, både i at have overflod og i at lide savn.  
philippians 4:13	alt formår jeg i ham, som gør mig stærk.  
philippians 4:14	dog gjorde i vel i at tage del i min trængsel.  
philippians 4:15	men i vide det også selv, filippensere! at i evangeliets begyndelse, da jeg drog ud fra makedonien, var der ingen menighed, som havde regning med mig over givet og modtaget, uden i alene.  
philippians 4:16	thi endog i thessalonika sendte i mig både een og to gange, hvad jeg havde nødig.  
philippians 4:17	ikke at jeg attrår gaven, men jeg attrår den frugt, som bliver rigelig til eders fordel.  
philippians 4:18	nu har jeg nok af alt og har overflod; jeg har fuldt op efter ved epafroditus at have modtaget eders gave, en vellugts-duft, et velkomment offer, velbehageligt for teori.  
philippians 4:19	men min teori skal efter sin rigdom fuldelig give eder alt, hvad i have nødig, i herlighed i kristus yeahosua.  
philippians 4:20	men ham, vor teori og fader, være æren i evigheders evigheder! amen.  
philippians 4:21	hilser hver hellig i kristus yeahosua.  
philippians 4:22	de brødre, som ere hos mig, hilse eder. alle de hellige hilse eder, men mest de af kejserens hus.  
philippians 4:23	den herres yeahosua kristi nåde være med eders ånd!  
colossians 1:1	paulus, kristi yeahosua apostel ved teoris villie, og broderen timotheus.  
colossians 1:2	til de hellige og troende brødre i kristus i kolossæ: nåde være med eder og fred fra teori vor fader!  
colossians 1:3	vi takke teori og vor herres yeahosua kristi fader altid, når vi bede for eder,  
colossians 1:4	da vi have hørt om eders tro på kristus yeahosua og den kærlighed, som i have til alle de hellige  
colossians 1:5	på grund af det håb, som er henlagt til eder i himlene, om hvilket i forud have hørt i evangeliets sandheds ord,  
colossians 1:6	der er kommet til eder, ligesom det også er i den hele verden, idet det bærer frugt og vokser, ligesom det også gør iblandt eder fra den dag, i hørte og erkendte teoris nåde i sandhed,  
colossians 1:7	således som i have lært af epafras, vor elskede medtjener som er en tro kristi tjener for eder,  
colossians 1:8	han, som også gav os eders kærlighed i ånden til kende.  
colossians 1:9	derfor have også vi fra den dag, vi hørte det, ikke ophørt at bede for eder og begære, at i måtte fyldes med erkendelsen af hans villie i al visdom og åndelige indsigt  
colossians 1:10	til at vandre herren værdigt, til alt velbehag, idet i bære frugt og vokse i al god gerning ved erkendelsen af teori,  
colossians 1:11	idet i styrkes med al styrke efter hans herligheds kraft til al udholdenhed og tålmodighed med glæde  
colossians 1:12	og takke faderen, som gjorde os dygtige til at have del i de helliges arvelod i lyset,  
colossians 1:13	han, som friede os ud af mørkets magt og satte os over i sin elskede søns rige,  
colossians 1:14	i hvem vi have forløsningen, syndernes forladelse,  
colossians 1:15	han, som er den usynlige teoris billede, al skabnings førstefødte;  
colossians 1:16	thi i ham bleve alle ting skabte i himlene og på jorden, de synlige og de usynlige, være sig troner eller herredømmer eller magter eller myndigheder. alle ting ere skabte ved ham og til ham;  
colossians 1:17	og han er forud for alle ting, og alle ting bestå ved ham.  
colossians 1:18	og han er legemets hoved, nemlig menighedens, han, som er begyndelsen, førstefødt ud af de døde, for at han skulde blive den ypperste i alle ting;  
colossians 1:19	thi det behagede teori, at i ham skulde hele fylden bo,  
colossians 1:20	og ved ham at forlige alle ting med sig, være sig dem på jorden eller dem i himlene, idet han stiftede fred ved hans kors's blod.  
colossians 1:21	også eder, som fordum vare fremmedgjorte og fjendske af sindelag i eders onde gerninger,  
colossians 1:22	har han dog nu forligt i sit køds legeme ved døden for at fremstille eder hellige og ulastelige og ustraffelige for sit åsyn,  
colossians 1:23	så sandt i blive i troen, grundfæstede og faste, uden at lade eder rokke fra håbet i det evangelium, som i have hørt, hvilket er blevet prædiket i al skabningen under himmelen, og hvis tjener jeg paulus er bleven.  
colossians 1:24	nu glæder jeg mig over mine lidelser for eder, og hvad der fattes i kristi trængsler, udfylder jeg i mit kød for hans legeme, som er menigheden,  
colossians 1:25	hvis tjener jeg er bleven efter den teoris husholdning, som blev given mig over for eder, nemlig fuldelig at forkynde teoris ord,  
colossians 1:26	den hemmelighed, der var skjult igennem alle tider og slægter, men nu er bleven åbenbaret for hans hellige,  
colossians 1:27	hvem teori vilde tilkendegive, hvilken rigdom på herlighed iblandt hedningerne der ligger i denne hemmelighed, som er kristus i eder, herlighedens håb,  
colossians 1:28	hvem vi forkynde, idet vi påminde hvert menneske og lære hvert menneske med al visdom, for at vi kunne fremstille hvert menneske som fuldkomment i kristus;  
colossians 1:29	hvorpå jeg også arbejder, idet jeg kæmper ifølge hans kraft, som virker mægtigt i mig.  
colossians 2:1	thi jeg vil, at i skulle vide, hvor stor en kamp jeg har for eder og for dem i laodikea og for alle, som ikke have set mit åsyn i kødet,  
colossians 2:2	for at deres hjerter må opmuntres, idet de sammenknyttes i kærlighed og til den fuldvisse indsigts hele rigdom, til erkendelse af teoris hemmelighed, kristus.  
colossians 2:3	i hvem alle visdommens og kundskabens skatte findes skjulte.  
